_id,title,year,vote_count,vote_average
664b369af5b7b67b6665c21d,Die Another Day,2002,3362,5.981
664b369af5b7b67b6665c21e,Dune,1984,2842,6.2
664b369af5b7b67b6665c21f,Vamp,1986,150,5.9
664b369af5b7b67b6665c220,The Platform,2019,6661,6.979
664b369af5b7b67b6665c221,Blue Beetle,2023,2362,6.8
664b369af5b7b67b6665c222,Surrogates,2009,3044,6.109
664b369af5b7b67b6665c223,Psycho,1960,9736,8.435
664b369af5b7b67b6665c224,Casablanca,1943,5208,8.2
664b369af5b7b67b6665c225,Her,2013,13893,7.857
664b369af5b7b67b6665c226,Ghostbusters: Afterlife,2021,4361,7.4
664b369af5b7b67b6665c227,Rocketman,2019,4482,7.324
664b369af5b7b67b6665c228,Allegiant,2016,6432,6.106
664b369af5b7b67b6665c229,The Mist,2007,4949,6.922
664b369af5b7b67b6665c22a,Cinderella,2021,1333,6.383
664b369af5b7b67b6665c22b,Daredevil,2003,4892,5.26
664b369af5b7b67b6665c22c,Expend4bles,2023,1331,6.269
664b369af5b7b67b6665c22d,Robot Dreams,2023,355,8.12
664b369af5b7b67b6665c22e,Batman Forever,1995,4981,5.426
664b369af5b7b67b6665c22f,Boyhood,2014,5003,7.505
664b369af5b7b67b6665c230,The Road,2009,3672,7.004
664b369af5b7b67b6665c231,Argylle,2024,1018,6.143
664b369af5b7b67b6665c232,The Family Plan,2023,1168,7.312
664b369af5b7b67b6665c233,Up,2009,19629,7.958
664b369af5b7b67b6665c234,The Matrix Resurrections,2021,5441,6.431
664b369af5b7b67b6665c235,Annie,1982,666,6.512
664b369af5b7b67b6665c236,PAW Patrol: The Mighty Movie,2023,387,7.1
664b369af5b7b67b6665c237,Aladdin,2019,9754,7.109
664b369af5b7b67b6665c238,The Fifth Element,1997,10407,7.547
664b369af5b7b67b6665c239,Labyrinth,1986,2309,7.278
664b369af5b7b67b6665c23a,Gerald's Game,2017,3520,6.4
664b369af5b7b67b6665c23b,Django Unchained,2012,25579,8.179
664b369af5b7b67b6665c23c,Batman & Robin,1997,4831,4.354
664b369af5b7b67b6665c23d,Booksmart,2019,2518,7.045
664b369af5b7b67b6665c23e,Pet Sematary,2019,3100,5.739
664b369af5b7b67b6665c23f,The Northman,2022,4031,7.062
664b369af5b7b67b6665c240,Harry Potter and the Philosopher's Stone,2001,26554,7.9
664b369af5b7b67b6665c241,Last Christmas,2019,2274,7.247
664b369af5b7b67b6665c242,The Cloverfield Paradox,2018,3130,5.6
664b369af5b7b67b6665c243,"Oh, God!",1977,113,6.429
664b369af5b7b67b6665c244,Psycho II,1983,605,6.449
664b369af5b7b67b6665c245,Chaos Walking,2021,2185,6.595
664b369af5b7b67b6665c246,Coming 2 America,2021,2114,6.433
664b369af5b7b67b6665c247,The Godfather Part II,1974,11979,8.577
664b369af5b7b67b6665c248,The Avengers,2012,30039,7.7
664b369af5b7b67b6665c249,The Equalizer 2,2018,5103,6.748
